1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0.1396702,0.0265508,0.1163,0.0344819,0.0217142,0.0295937,0.0258972,0.0058581,0.0643837,0.0930599,0.02747,0.3129151,0.0119148,0.0062419,0.0197102,0.0110233,0.0015686,0.1119231,0.0191269,0.0683347,0.160945,0.0096123,0.0136098,0.0353801,0.0857719,0.028031,0.4424411,0.3327688,0.0040571,0.2328488,0.0547158,0.0032648,0.0374979,0.558221,0.0138182,0.1397487,0.1189419,0.1054403,0.0987613,0.0284486,0.0124691,0.0171718,0.1110823,0.161018,0.0152631,0.2883907,0.1544511,0.0222249,0.0051772,0.0186643,0.2580277,0.1180345,0.3669107,0.1645861,0.2324185,0.0187326,0.0047905,0.0438681,0.021075,0.6553823,0.4171417,0.300814,0.5237779,0.0022389
0.1404178,0.0042229,0.11531,0.0607749,0.0149629,0.0295677,0.049149,0.0122631,0.064771,0.089294,0.0062335,0.3105519,0.0010615,0.0250916,0.0080253,0.0113294,0.0032706,0.112189,0.0081053,0.0652308,0.1606007,0.0206794,0.0297585,0.0246134,0.0851321,0.0226303,0.4414909,0.3314237,0.0184744,0.2324809,0.0249411,0.0165727,0.0103044,0.5590674,0.0038255,0.1396248,0.1187971,0.0753445,0.0989682,0.0243498,0.0137509,0.0178898,0.1112321,0.1863772,0.0129824,0.2885672,0.1526817,0.0188004,0.0190672,0.016368,0.2500369,0.1179167,0.3911331,0.1643477,0.2325633,0.0063119,0.0243632,0.0582617,0.0034772,0.6511212,0.4176173,0.2990334,0.5245431,0.0037979
0.1391583,0.0165938,0.1152213,0.050972,0.0332567,0.0296044,0.0134785,0.0042464,0.0648093,0.0929674,0.0305171,0.3102023,0.0080536,0.0118654,0.0205199,0.0216421,0.0278566,0.1115151,0.0171324,0.0722753,0.1606064,0.0113651,0.0265568,0.0063702,0.0848088,0.0393502,0.4413368,0.3316555,0.0117425,0.2326986,0.0544596,0.0027167,0.0212951,0.5584299,0.0230183,0.1396294,0.1186381,0.0931377,0.0988847,0.0068524,0.0113979,0.0148646,0.1111888,0.1673047,0.002582,0.2887237,0.1538586,0.0188302,0.0048373,0.0321602,0.2786909,0.1180619,0.3757961,0.1642715,0.2324908,0.0250013,0.0211458,0.0724576,0.0112802,0.6526398,0.4179491,0.30081,0.5250493,0.0368961
0.1387356,0.00896,0.1155662,0.034463,0.0331386,0.0269118,0.0183909,0.0283778,0.06411,0.0891424,0.0109413,0.3101999,0.0188738,0.0204528,0.0127976,0.0185298,0.0052355,0.1117869,0.0070286,0.0697545,0.1608137,0.0136983,0.0267016,0.0278495,0.085133,0.0290165,0.4413438,0.331819,0.0188966,0.2329166,0.0414479,0.0092429,0.0211315,0.5582722,0.0226048,0.1395229,0.1188757,0.1086489,0.0989874,0.0083852,0.0012053,0.0142979,0.1113055,0.163924,0.0111195,0.2895927,0.1540784,0.020984,0.0195649,0.0080288,0.2603123,0.1177574,0.3658723,0.1646491,0.2332761,0.0179323,0.0057131,0.0570071,0.0052334,0.6445407,0.4195279,0.3026632,0.5268156,0.008562
0.1412802,0.0179668,0.1162099,0.0507379,0.021718,0.033401,0.0245607,0.007305,0.0644229,0.094199,0.0199458,0.3106306,0.0103415,0.0075407,0.016699,0.0259116,0.006661,0.1119954,0.0185807,0.053061,0.1609691,0.020699,0.0286806,0.0066738,0.0849221,0.0248439,0.4415131,0.3323324,0.0059027,0.2338261,0.0221225,0.0102631,0.0166849,0.55882,0.0154942,0.1398626,0.1189667,0.0808022,0.0995783,0.0141921,0.0029493,0.0204051,0.1116582,0.153175,0.0219806,0.2908012,0.1538427,0.0029688,0.0065075,0.0376747,0.2471281,0.1181285,0.3567001,0.165295,0.2344312,0.0266528,0.013608,0.0302734,0.0092959,0.6649353,0.4209076,0.3033753,0.5294129,0.0172188
0.1391578,0.0021653,0.1167245,0.0512899,0.0267938,0.0247445,0.0078431,0.0063323,0.064111,0.0917243,0.0004996,0.3102759,0.014602,0.0146166,0.0195649,0.0173598,0.0184685,0.1117246,0.0100336,0.0605073,0.1611136,0.0250434,0.0256857,0.0182398,0.0855972,0.0313593,0.4422365,0.3329589,0.0232762,0.2346819,0.0401638,0.0272787,0.03723,0.5579938,0.0160354,0.1399725,0.1190432,0.081639,0.0995336,0.0050126,0.014435,0.0130524,0.1113257,0.1581129,0.0097191,0.2895258,0.1563613,0.0161305,0.0159173,0.0223555,0.2705868,0.1180098,0.3549423,0.1645425,0.2326508,0.0152338,0.0106169,0.0446047,0.0229573,0.6453686,0.4175327,0.2981653,0.5246983,0.0088215
0.1380839,0.0240573,0.1152441,0.0629668,0.010612,0.0201555,0.0101543,0.0041907,0.0638838,0.0940443,0.0151677,0.308321,0.0272346,0.0171909,0.0199362,0.018183,0.0201042,0.1118876,0.0195437,0.078404,0.1602912,0.0272583,0.0203784,0.0153162,0.084578,0.0287174,0.4403813,0.3309322,0.0009923,0.2323112,0.0339024,0.0126629,0.0084612,0.5563301,0.0085466,0.1391966,0.118682,0.1062938,0.0989,0.017618,0.0142121,0.0163853,0.1108181,0.1696419,0.0132328,0.2887764,0.1543293,0.009769,0.0074503,0.0122738,0.2572578,0.1176996,0.3520684,0.164308,0.2325853,0.0082832,0.0253109,0.0424936,0.0404021,0.6373149,0.4176226,0.2999683,0.5248031,0.0095896
0.1364375,0.0149029,0.1152905,0.0613985,0.0124352,0.0305307,0.0138901,0.0036596,0.0642854,0.0909171,0.019969,0.3088817,0.0273663,0.0299742,0.028274,0.0274484,0.0038309,0.1116815,0.0158648,0.0412974,0.1605323,0.0069454,0.0284746,0.0181321,0.085019,0.0360696,0.4403706,0.3308091,0.0167691,0.2327074,0.061852,0.01328,0.0169036,0.5563818,0.0103335,0.1391371,0.1185697,0.0863296,0.0989809,0.0105819,0.0157009,0.011014,0.1111216,0.1498394,0.017001,0.2888797,0.1529947,0.0098699,0.0178848,0.0140669,0.2734415,0.1176844,0.3495552,0.1644839,0.2323505,0.0144623,0.0154534,0.0460202,0.0118817,0.6419129,0.4175677,0.2988218,0.5253836,0.0115631
0.134287,0.0074332,0.115368,0.0319766,0.0175947,0.0072418,0.009864,0.0151375,0.0636106,0.092307,0.0078672,0.3076242,0.0204187,0.0143788,0.0503054,0.0183495,0.0156603,0.1114416,0.0142558,0.0654284,0.1604923,0.0237752,0.0308359,0.0169198,0.0851858,0.0294613,0.4403409,0.3308226,0.0044291,0.232698,0.0521151,0.0069593,0.0185286,0.5562919,0.0218917,0.1391648,0.1188504,0.0979826,0.0989962,0.0099464,0.0179286,0.0053239,0.1113625,0.1559413,0.0078397,0.2897349,0.1562718,0.0092814,0.0232794,0.0181122,0.2778579,0.11757,0.3461351,0.1647809,0.2330028,0.0067626,0.0140416,0.0389908,0.0170012,0.6451636,0.4187713,0.2994551,0.5266354,0.0207401
0.1378774,0.0091227,0.1160358,0.0448228,0.0061401,0.030589,0.0069864,0.0325072,0.0639827,0.0932277,0.0112348,0.30892,0.0035643,0.01581,0.001245,0.0031473,0.0240631,0.1116502,0.0047271,0.0595627,0.1607376,0.024913,0.0344754,0.0114186,0.0852044,0.035366,0.441,0.331248,0.0208518,0.2335274,0.0505342,0.0196231,0.0231486,0.5569265,0.0135704,0.1394085,0.1190472,0.1054253,0.0994886,0.0199819,0.0203742,0.0006501,0.111686,0.1796127,0.0172013,0.2907657,0.1570358,0.0107665,0.0235298,0.0414831,0.2703993,0.1179957,0.3836226,0.1651446,0.2342724,0.0080291,0.0068609,0.0426097,0.0140448,0.6669708,0.4201555,0.3032985,0.5287076,0.0184831
