1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0.3160505,0.018425,0.1158104,0.0512332,0.0333707,0.0207646,0.0115598,0.0183474,0.1323705,0.2923709,0.020842,0.4628443,0.0254024,0.0145765,0.01698,0.0044923,0.004603,0.1481103,0.0239205,0.0722261,0.2161835,0.0436119,0.0341279,0.0146264,0.1529931,0.0461776,0.3954792,0.4163529,0.0075249,0.2175747,0.0411598,0.011744,0.0129722,0.9715855,0.0247287,0.142712,0.1719055,0.111002,0.1084777,0.0101231,0.0190367,0.0195442,0.1227849,0.2182283,0.0102243,0.3786714,0.1418643,0.0176597,0.0088927,0.0351819,0.28016,0.1347837,0.51469,0.1316895,0.2559983,0.0129319,0.0094627,0.0688662,0.0112416,0.6520299,0.4844888,0.2148701,0.4471356,0.0193185
0.3139121,0.0138697,0.1143367,0.0502132,0.0047623,0.0205808,0.006512,0.0148948,0.130667,0.2917503,0.0175624,0.4594004,0.0171323,0.016473,0.0367698,0.0094719,0.0040453,0.1483708,0.0085104,0.0728048,0.2154704,0.0360873,0.0501597,0.0101242,0.1527591,0.0470331,0.3944218,0.4145697,0.013792,0.2170414,0.0287418,0.0229071,0.011741,0.9700245,0.0142427,0.1426457,0.1717111,0.0978916,0.1082326,0.0089694,0.0354397,0.0105792,0.1227951,0.2248985,0.0040667,0.3787461,0.1430383,0.0151667,0.0293404,0.0241859,0.2773609,0.1346451,0.5053111,0.1317044,0.2559745,0.0071574,0.0105705,0.0791087,0.0093534,0.6337647,0.4846692,0.2151175,0.4475488,0.0104419
0.3155025,0.0305344,0.1143853,0.0281137,0.0186608,0.0114839,0.0223097,0.0074094,0.1310356,0.288419,0.0199796,0.4584575,0.0264363,0.0071596,0.0314543,0.0129291,0.0168661,0.1476259,0.0080496,0.0930799,0.2154124,0.0446181,0.0429501,0.0210565,0.1523102,0.0384408,0.3938926,0.4145212,0.030185,0.2168544,0.0336642,0.0218735,0.0159718,0.9676254,0.0239279,0.142392,0.1714618,0.0904147,0.1082623,0.025905,0.0285079,0.0097021,0.123018,0.2027473,0.0043746,0.3784052,0.1456941,0.017729,0.0207501,0.0167751,0.2678227,0.1346015,0.5125863,0.1317786,0.2557128,0.0168695,0.0088195,0.0874959,0.0125301,0.6528113,0.4853814,0.2153601,0.4480924,0.0112622
0.3165765,0.0172737,0.114778,0.0694105,0.0071971,0.0180443,0.0049671,0.0107709,0.1307074,0.2858665,0.0329907,0.458531,0.0298086,0.0291686,0.0334797,0.0131987,0.0053817,0.1481926,0.0368609,0.0561105,0.2158941,0.0502777,0.0225843,0.0218353,0.1527712,0.0585963,0.3945037,0.4147108,0.0081402,0.2177732,0.0434604,0.0303308,0.0145578,0.9648868,0.0223406,0.1425568,0.1716243,0.1055918,0.1087561,0.0144138,0.0030819,0.0066703,0.1233599,0.2378631,0.0155009,0.3794911,0.1462853,0.0185831,0.0105861,0.0229836,0.2468758,0.1345484,0.5067587,0.1321775,0.2569902,0.0212215,0.0097657,0.0848413,0.0330077,0.6457361,0.4883735,0.2154305,0.4504531,0.0287715
0.3155756,0.0301388,0.1158812,0.0418297,0.0082822,0.0236349,0.0190599,0.0120159,0.1305379,0.2891554,0.0369043,0.4591008,0.0477926,0.0167811,0.0343878,0.0136158,0.024334,0.1484665,0.0310345,0.0682776,0.2168901,0.0268815,0.0230589,0.0241259,0.1525657,0.0193493,0.395306,0.4157421,0.0044865,0.2194513,0.0458002,0.0216092,0.0307516,0.9691042,0.0135377,0.1430233,0.1719668,0.1007135,0.1095889,0.0172532,0.0065648,0.0119382,0.1238625,0.2343699,0.0311037,0.3815833,0.1466623,0.0055502,0.0226043,0.0329537,0.2505773,0.1351993,0.5215322,0.1327214,0.2587488,0.0033319,0.0245503,0.0910979,0.0200936,0.673258,0.4910412,0.2172163,0.4530458,0.0222035
0.3190158,0.0345746,0.1163337,0.0621119,0.0134037,0.0210796,0.0100815,0.0355238,0.1312169,0.2905934,0.0349344,0.4597728,0.0305904,0.0191691,0.0314157,0.0203644,0.0142202,0.1477153,0.0130332,0.074668,0.2168338,0.045588,0.047881,0.0103714,0.1532741,0.0378356,0.3954478,0.4167009,0.0140103,0.2194989,0.0528635,0.0157719,0.0052941,0.9671633,0.0267272,0.1427813,0.1717368,0.0852366,0.1094702,0.009912,0.0077101,0.0148351,0.1229678,0.2104092,0.01777,0.3794718,0.1445355,0.0079942,0.0154119,0.0267553,0.2841621,0.1346427,0.5137905,0.1315387,0.2555095,0.008485,0.0166396,0.0774784,0.0493731,0.6402408,0.4841474,0.216095,0.447508,0.026696
0.3145597,0.0136962,0.1142375,0.0516721,0.0305673,0.0193197,0.012047,0.017739,0.1310855,0.2869975,0.0087954,0.4557267,0.0371217,0.0389018,0.0114497,0.0198309,0.0189262,0.1479201,0.042124,0.0801426,0.2148956,0.0199996,0.0309449,0.0117647,0.1520982,0.0410019,0.3930329,0.4133983,0.0101423,0.2165905,0.0483223,0.0182999,0.0248448,0.9638383,0.0286916,0.1419656,0.1711508,0.1031919,0.1079875,0.0181633,0.0186293,0.0058596,0.1223511,0.2227849,0.0111427,0.3781334,0.1424803,0.0186612,0.0047131,0.0171693,0.281921,0.134084,0.5072805,0.1313419,0.2554125,0.0034536,0.00341,0.0928011,0.0074372,0.6373881,0.4841619,0.2155269,0.4471415,0.0060809
0.3155272,0.0350765,0.114469,0.0530527,0.0147488,0.0168477,0.007067,0.019011,0.1303166,0.2856149,0.0280922,0.4549267,0.0128795,0.0099946,0.0137693,0.0292549,0.0139519,0.1476847,0.0146713,0.0695782,0.2152164,0.0364702,0.0358008,0.0110942,0.1511545,0.0457537,0.3934895,0.4128957,0.0226432,0.2169599,0.0505812,0.0073595,0.0306101,0.9630792,0.0116892,0.1419023,0.1709746,0.1140695,0.1082886,0.0030376,0.0315059,0.0049783,0.1228629,0.2313284,0.0047976,0.3784525,0.1421495,0.0181119,0.0160114,0.0389607,0.2514168,0.1342926,0.5183196,0.1314345,0.2555043,0.0051993,0.0066249,0.0814123,0.0037187,0.6138267,0.4842355,0.2146539,0.4474074,0.007317
0.3160146,0.0149186,0.1144581,0.0551789,0.0076394,0.0119422,0.0277088,0.009729,0.1299213,0.2862283,0.0241851,0.454607,0.0357434,0.0175937,0.0394726,0.0097629,0.0099148,0.1472871,0.0295781,0.0795329,0.2152026,0.0250168,0.0239762,0.0112645,0.1520172,0.0390918,0.3932095,0.4132145,0.0278437,0.2170831,0.0527383,0.0117262,0.0088922,0.9626687,0.0193738,0.1421546,0.1711398,0.0826267,0.1084346,0.0175198,0.0226541,0.0061216,0.1232012,0.2154261,0.0080584,0.3792869,0.1447915,0.0160689,0.0115515,0.024296,0.2440272,0.1344368,0.5061533,0.1316568,0.2560968,0.0055359,0.0124461,0.0741764,0.0159954,0.6248824,0.4866726,0.2164311,0.4494306,0.0142599
0.3145258,0.0103058,0.1153918,0.0541534,0.0123684,0.016456,0.0200482,0.0162788,0.1300316,0.2853804,0.0182569,0.4549061,0.0103755,0.002269,0.0374607,0.0312688,0.0096293,0.1482345,0.0207533,0.0929664,0.2160595,0.0400738,0.0489983,0.011933,0.1525471,0.0432288,0.3942594,0.4142237,0.0125668,0.2185423,0.0310875,0.0172956,0.0027698,0.963399,0.0088056,0.142328,0.1715884,0.0956671,0.1090317,0.0093157,0.0288773,0.0078342,0.1235131,0.2006804,0.0086447,0.3810585,0.1419929,0.0110958,0.0137637,0.0225621,0.2775068,0.1347761,0.5151038,0.1319167,0.2579817,0.0160226,0.0131573,0.0918637,0.0119683,0.6475339,0.4894176,0.2180646,0.4519059,0.011306
